rh,temp,uva,uvb,x,y,blueg,blueb,worn,pressure,timestamp,hour,minute,second,isnight
23.846666666666668,37.21333333333334,5.577416666666666,1.6235333333333333,615.7777777777778,686.0,134.0,117.0,0.0,1.000291690654385,1650458376,14,39,36,0
23.757272727272728,38.02303030303031,5.412893939393939,1.5896254545454542,611.1818181818181,679.060606060606,133.75757575757575,117.33333333333331,0.0,1.0002628804701343,1650458530,14,42,10,0
23.66571428571429,38.47761904761904,4.859261904761905,1.4390685714285716,591.5238095238095,652.952380952381,130.28571428571428,115.33333333333331,0.0,1.0002363916205514,1650458683,14,44,43,0
23.483333333333334,37.945238095238096,4.57502380952381,1.32628,570.3333333333334,625.7142857142857,126.47619047619048,112.61904761904762,0.0,1.0002627095743306,1650458853,14,47,33,0
23.332878787878784,37.39348484848485,4.585469696969696,1.3144036363636364,565.1666666666666,620.2424242424242,123.3181818181818,111.06060606060606,0.0,1.0002094968934347,1650459006,14,50,6,0
23.38714285714287,37.88111111111111,4.369404761904762,1.259878095238095,572.8571428571429,629.3650793650794,125.46031746031746,113.0952380952381,0.0,1.0002006743975653,1650459160,14,52,40,0
23.266666666666666,37.82333333333333,4.445,1.30072,620.0,681.0,139.0,123.0,0.0,1.0002204128628998,1650459313,14,55,13,0
23.2540350877193,37.8640350877193,5.213684210526315,1.5452589473684208,695.5964912280701,770.719298245614,153.47368421052633,136.43859649122808,0.0,1.0002044835750863,1650459466,14,57,46,0
23.270166666666668,38.34316666666666,5.913966666666667,1.754552,748.8166666666667,838.15,164.75,143.76666666666668,0.0,1.0001437618225184,1650459619,15,0,19,0
23.39952380952381,39.33809523809524,6.250214285714286,1.8433628571428569,751.7142857142857,843.0,164.76190476190476,142.38095238095238,0.0,1.0001090315227992,1650459772,15,2,52,0
23.336666666666662,39.504444444444445,6.282972222222223,1.83606,845.8888888888889,948.4444444444443,183.44444444444449,154.72222222222223,0.0,1.0001496833621188,1650459926,15,5,26,0
23.34725490196078,39.72666666666667,6.290235294117647,1.8302964705882356,770.9411764705883,863.0196078431372,167.8235294117647,145.19607843137254,0.0,1.0001437811739549,1650460079,15,7,59,0
23.32683333333333,40.10433333333334,6.539441666666666,1.9181360000000005,779.6666666666666,873.9,169.58333333333334,146.08333333333334,0.0,1.0000718809112592,1650460232,15,10,32,0
23.324848484848484,40.332121212121216,6.0536666666666665,1.7698363636363634,722.6363636363636,802.7878787878788,157.42424242424244,137.3939393939394,0.0,1.0000340937128502,1650460385,15,13,5,0
23.30509803921569,40.57,5.216960784313725,1.5215717647058826,678.156862745098,744.7254901960785,147.27450980392155,131.54901960784315,0.0,1.0000379288157404,1650460539,15,15,39,0
23.08588235294118,39.61254901960784,5.028950980392157,1.458590588235294,684.0196078431372,747.156862745098,149.62745098039215,134.5686274509804,0.0,0.9999672960721422,1650460692,15,18,12,0
23.089696969696966,39.94560606060606,5.058833333333332,1.47254,711.8787878787879,777.7424242424242,155.4848484848485,139.92424242424244,0.0,0.9998981674629344,1650460845,15,20,45,0
23.16549019607844,40.237058823529416,6.472019607843135,1.907644705882353,835.0588235294117,925.3529411764706,181.80392156862743,159.7450980392157,0.0,0.9998939541274195,1650460999,15,23,19,0
23.19666666666667,40.69683333333332,8.014758333333333,2.396534,979.6333333333332,1095.45,211.7,182.38333333333333,0.0,0.9998766345916605,1650461152,15,25,52,0
23.46309523809524,42.41619047619048,9.394976190476193,2.8280314285714288,1067.190476190476,1196.857142857143,229.3571428571429,195.8809523809524,0.0,0.9997962708399423,1650461305,15,28,25,0
23.44736842105263,42.68140350877192,9.1150350877193,2.74344,1063.438596491228,1192.6140350877192,229.35087719298247,196.59649122807016,0.0,0.9997520571722918,1650461458,15,30,58,0
23.45055555555556,43.14055555555556,7.9621944444444415,2.3974333333333333,998.6666666666666,1111.0,217.44444444444449,188.27777777777777,0.0,0.9997176302875783,1650461612,15,33,32,0
23.33421052631579,42.69315789473684,8.131342105263158,2.4506210526315786,1053.8245614035088,1174.491228070175,228.8245614035088,198.8245614035088,0.0,0.9996848771323819,1650461765,15,36,5,0
23.278125,42.75208333333333,7.90178125,2.3829375,1054.5,1171.9166666666667,229.625,200.22916666666663,0.0,0.999652931984538,1650461918,15,38,38,0
23.355500000000003,43.27883333333333,8.885766666666665,2.6909,1172.4166666666667,1307.8666666666666,254.85,221.6,0.0,0.9996198700551032,1650462071,15,41,11,0
23.38966666666666,43.54899999999999,11.032066666666667,3.3489280000000003,1392.4,1567.5,303.1666666666667,259.2,0.0,0.9995558845299778,1650462225,15,43,45,0
23.652777777777786,45.44222222222223,11.88861111111111,3.6290466666666665,1443.1666666666667,1629.4166666666667,312.8333333333333,266.1388888888889,0.0,0.9994876223373631,1650462390,15,46,30,0
23.683333333333334,46.18333333333334,8.397875,2.5268900000000003,1170.1666666666667,1306.0,261.1666666666667,228.0,0.0,0.9994177152726376,1650462543,15,49,3,0
23.78133333333333,47.09822222222221,16.209433333333333,5.005216,1778.022222222222,2027.1777777777777,382.4666666666666,319.0888888888889,0.0,0.9993328398717,1650462696,15,51,36,0
24.09595238095238,49.59904761904762,12.143619047619046,3.7057942857142856,1482.309523809524,1683.8809523809523,329.57142857142856,282.42857142857144,0.0,0.9992165709116115,1650462849,15,54,9,0
24.499166666666667,51.41583333333333,24.706791666666664,7.658059999999999,2561.4166666666665,2944.1666666666665,544.25,439.6666666666667,0.0,0.9991956575376264,1650463002,15,56,42,0
